year,week,week_start,week_end,station,pollen,level,trend
2022,18,2022-05-02,2022-05-08,BELLATERRA,Platanus,2,=
2022,18,2022-05-02,2022-05-08,GIRONA,Platanus,1,=
2022,18,2022-05-02,2022-05-08,LLEIDA,Platanus,1,=
2022,18,2022-05-02,2022-05-08,MANRESA,Platanus,3,=
2022,18,2022-05-02,2022-05-08,PLANES,Platanus,0,=
2022,18,2022-05-02,2022-05-08,ROQUETES-TORTOSA,Platanus,1,=
2022,18,2022-05-02,2022-05-08,TARRAGONA,Platanus,1,=
2022,18,2022-05-02,2022-05-08,VIELHA,Platanus,1,=
2022,19,2022-05-09,2022-05-15,BARCELONA,Platanus,1,=
2022,19,2022-05-09,2022-05-15,BELLATERRA,Platanus,2,=
2022,19,2022-05-09,2022-05-15,GIRONA,Platanus,1,=
2022,19,2022-05-09,2022-05-15,LLEIDA,Platanus,1,=
2022,19,2022-05-09,2022-05-15,MANRESA,Platanus,1,=
2022,19,2022-05-09,2022-05-15,PLANES,Platanus,0,=
2022,19,2022-05-09,2022-05-15,ROQUETES-TORTOSA,Platanus,1,=
2022,19,2022-05-09,2022-05-15,TARRAGONA,Platanus,1,=
2022,19,2022-05-09,2022-05-15,VIELHA,Platanus,1,=
2022,20,2022-05-16,2022-05-22,BARCELONA,Platanus,1,=
2022,20,2022-05-16,2022-05-22,BELLATERRA,Platanus,1,=
2022,20,2022-05-16,2022-05-22,GIRONA,Platanus,1,=
2022,20,2022-05-16,2022-05-22,MANRESA,Platanus,1,=
2022,20,2022-05-16,2022-05-22,PLANES,Platanus,0,=
2022,20,2022-05-16,2022-05-22,ROQUETES-TORTOSA,Platanus,0,=
2022,20,2022-05-16,2022-05-22,TARRAGONA,Platanus,0,=
2022,20,2022-05-16,2022-05-22,VIELHA,Platanus,0,=
2023,10,2023-03-06,2023-03-12,BARCELONA,Platanus,0,=
2023,10,2023-03-06,2023-03-12,BELLATERRA,Platanus,0,=
2023,10,2023-03-06,2023-03-12,GIRONA,Platanus,0,=
2023,10,2023-03-06,2023-03-12,LLEIDA,Platanus,0,=
2023,10,2023-03-06,2023-03-12,MANRESA,Platanus,0,=
2023,10,2023-03-06,2023-03-12,PLANES,Platanus,0,=
2023,10,2023-03-06,2023-03-12,ROQUETES-TORTOSA,Platanus,0,=
2023,10,2023-03-06,2023-03-12,TARRAGONA,Platanus,0,=
2023,10,2023-03-06,2023-03-12,VIELHA,Platanus,0,=
2023,11,2023-03-13,2023-03-19,BARCELONA,Platanus,0,A
2023,11,2023-03-13,2023-03-19,BELLATERRA,Platanus,0,=
2023,11,2023-03-13,2023-03-19,GIRONA,Platanus,0,=
2023,11,2023-03-13,2023-03-19,LLEIDA,Platanus,0,=
2023,11,2023-03-13,2023-03-19,MANRESA,Platanus,0,=
2023,11,2023-03-13,2023-03-19,PLANES,Platanus,0,=
2023,11,2023-03-13,2023-03-19,ROQUETES-TORTOSA,Platanus,0,=
2023,11,2023-03-13,2023-03-19,TARRAGONA,Platanus,0,=
2023,11,2023-03-13,2023-03-19,VIELHA,Platanus,0,=
2023,12,2023-03-20,2023-03-26,BARCELONA,Platanus,3,A
2023,12,2023-03-20,2023-03-26,BELLATERRA,Platanus,1,A
2023,12,2023-03-20,2023-03-26,GIRONA,Platanus,1,A
2023,12,2023-03-20,2023-03-26,LLEIDA,Platanus,0,A
2023,12,2023-03-20,2023-03-26,MANRESA,Platanus,0,A
2023,12,2023-03-20,2023-03-26,PLANES,Platanus,0,=
2023,12,2023-03-20,2023-03-26,ROQUETES-TORTOSA,Platanus,0,A
2023,12,2023-03-20,2023-03-26,TARRAGONA,Platanus,1,A
2023,12,2023-03-20,2023-03-26,VIELHA,Platanus,0,=
2023,13,2023-03-27,2023-04-02,BARCELONA,Platanus,4,=
2023,13,2023-03-27,2023-04-02,BELLATERRA,Platanus,3,A
2023,13,2023-03-27,2023-04-02,GIRONA,Platanus,4,=
2023,13,2023-03-27,2023-04-02,LLEIDA,Platanus,4,=
2023,13,2023-03-27,2023-04-02,MANRESA,Platanus,4,=
2023,13,2023-03-27,2023-04-02,PLANES,Platanus,0,=
2023,13,2023-03-27,2023-04-02,ROQUETES-TORTOSA,Platanus,4,=
2023,13,2023-03-27,2023-04-02,TARRAGONA,Platanus,4,=
2023,13,2023-03-27,2023-04-02,VIELHA,Platanus,0,=
2023,14,2023-04-03,2023-04-09,BARCELONA,Platanus,4,=
2023,14,2023-04-03,2023-04-09,BELLATERRA,Platanus,4,A
2023,14,2023-04-03,2023-04-09,GIRONA,Platanus,4,=
2023,14,2023-04-03,2023-04-09,LLEIDA,Platanus,4,=
2023,14,2023-04-03,2023-04-09,MANRESA,Platanus,4,=
2023,14,2023-04-03,2023-04-09,PLANES,Platanus,1,=
2023,14,2023-04-03,2023-04-09,ROQUETES-TORTOSA,Platanus,4,=
2023,14,2023-04-03,2023-04-09,TARRAGONA,Platanus,4,=
2023,14,2023-04-03,2023-04-09,VIELHA,Platanus,1,=
2023,15,2023-04-10,2023-04-16,BARCELONA,Platanus,4,=
2023,15,2023-04-10,2023-04-16,BELLATERRA,Platanus,4,=
2023,15,2023-04-10,2023-04-16,GIRONA,Platanus,4,=
2023,15,2023-04-10,2023-04-16,LLEIDA,Platanus,4,=
2023,15,2023-04-10,2023-04-16,MANRESA,Platanus,4,=
2023,15,2023-04-10,2023-04-16,PLANES,Platanus,1,=
2023,15,2023-04-10,2023-04-16,ROQUETES-TORTOSA,Platanus,2,=
2023,15,2023-04-10,2023-04-16,TARRAGONA,Platanus,3,=
2023,15,2023-04-10,2023-04-16,VIELHA,Platanus,1,=
2023,16,2023-04-17,2023-04-23,BARCELONA,Platanus,4,D
2023,16,2023-04-17,2023-04-23,BELLATERRA,Platanus,4,D
2023,16,2023-04-17,2023-04-23,GIRONA,Platanus,4,D
2023,16,2023-04-17,2023-04-23,LLEIDA,Platanus,4,D
2023,16,2023-04-17,2023-04-23,MANRESA,Platanus,4,D
2023,16,2023-04-17,2023-04-23,PLANES,Platanus,1,=
2023,16,2023-04-17,2023-04-23,ROQUETES-TORTOSA,Platanus,1,D
2023,16,2023-04-17,2023-04-23,TARRAGONA,Platanus,2,D
2023,16,2023-04-17,2023-04-23,VIELHA,Platanus,1,=
2023,17,2023-04-24,2023-04-30,BARCELONA,Platanus,3,D
2023,17,2023-04-24,2023-04-30,BELLATERRA,Platanus,2,D
2023,17,2023-04-24,2023-04-30,GIRONA,Platanus,3,D
2023,17,2023-04-24,2023-04-30,LLEIDA,Platanus,2,D
2023,17,2023-04-24,2023-04-30,MANRESA,Platanus,3,D
2023,17,2023-04-24,2023-04-30,PLANES,Platanus,1,=
2023,17,2023-04-24,2023-04-30,ROQUETES-TORTOSA,Platanus,1,D
2023,17,2023-04-24,2023-04-30,TARRAGONA,Platanus,1,D
2023,17,2023-04-24,2023-04-30,VIELHA,Platanus,1,=
2023,18,2023-05-01,2023-05-07,BARCELONA,Platanus,2,D
2023,18,2023-05-01,2023-05-07,BELLATERRA,Platanus,1,D
2023,18,2023-05-01,2023-05-07,GIRONA,Platanus,2,D
2023,18,2023-05-01,2023-05-07,LLEIDA,Platanus,1,D
2023,18,2023-05-01,2023-05-07,MANRESA,Platanus,2,D
2023,18,2023-05-01,2023-05-07,PLANES,Platanus,1,=
2023,18,2023-05-01,2023-05-07,ROQUETES-TORTOSA,Platanus,0,=
2023,18,2023-05-01,2023-05-07,TARRAGONA,Platanus,1,D
2023,18,2023-05-01,2023-05-07,VIELHA,Platanus,1,=
2023,19,2023-05-08,2023-05-14,BARCELONA,Platanus,2,D
2023,19,2023-05-08,2023-05-14,BELLATERRA,Platanus,1,D
2023,19,2023-05-08,2023-05-14,GIRONA,Platanus,2,D
2023,19,2023-05-08,2023-05-14,LLEIDA,Platanus,1,D
2023,19,2023-05-08,2023-05-14,MANRESA,Platanus,2,D
2023,19,2023-05-08,2023-05-14,PLANES,Platanus,1,=
2023,19,2023-05-08,2023-05-14,ROQUETES-TORTOSA,Platanus,0,=
2023,19,2023-05-08,2023-05-14,TARRAGONA,Platanus,1,D
2023,19,2023-05-08,2023-05-14,VIELHA,Platanus,1,=
2023,20,2023-05-15,2023-05-21,BARCELONA,Platanus,1,D
2023,20,2023-05-15,2023-05-21,BELLATERRA,Platanus,0,=
2023,20,2023-05-15,2023-05-21,GIRONA,Platanus,0,=
2023,20,2023-05-15,2023-05-21,LLEIDA,Platanus,0,=
2023,20,2023-05-15,2023-05-21,MANRESA,Platanus,0,=
2023,20,2023-05-15,2023-05-21,PLANES,Platanus,0,=
2023,20,2023-05-15,2023-05-21,ROQUETES-TORTOSA,Platanus,0,=
2023,20,2023-05-15,2023-05-21,TARRAGONA,Platanus,0,=
2023,20,2023-05-15,2023-05-21,VIELHA,Platanus,0,=
2023,21,2023-05-22,2023-05-28,BARCELONA,Platanus,0,=
2023,21,2023-05-22,2023-05-28,BELLATERRA,Platanus,0,=
2023,21,2023-05-22,2023-05-28,GIRONA,Platanus,0,=
2023,21,2023-05-22,2023-05-28,LLEIDA,Platanus,0,=
2023,21,2023-05-22,2023-05-28,MANRESA,Platanus,0,=
2023,21,2023-05-22,2023-05-28,PLANES,Platanus,0,=
2023,21,2023-05-22,2023-05-28,ROQUETES-TORTOSA,Platanus,0,=
2023,21,2023-05-22,2023-05-28,TARRAGONA,Platanus,0,=
2023,21,2023-05-22,2023-05-28,VIELHA,Platanus,0,=
2023,22,2023-05-29,2023-06-04,BARCELONA,Platanus,0,=
2023,22,2023-05-29,2023-06-04,BELLATERRA,Platanus,0,=
2023,22,2023-05-29,2023-06-04,GIRONA,Platanus,0,=
2023,22,2023-05-29,2023-06-04,LLEIDA,Platanus,0,=
2023,22,2023-05-29,2023-06-04,MANRESA,Platanus,0,=
2023,22,2023-05-29,2023-06-04,PLANES,Platanus,0,=
2023,22,2023-05-29,2023-06-04,ROQUETES-TORTOSA,Platanus,0,=
2023,22,2023-05-29,2023-06-04,TARRAGONA,Platanus,0,=
2023,22,2023-05-29,2023-06-04,VIELHA,Platanus,0,=
2023,39,2023-09-25,2023-10-01,BARCELONA,Platanus,3,D
2023,39,2023-09-25,2023-10-01,BELLATERRA,Platanus,0,=
2023,39,2023-09-25,2023-10-01,GIRONA,Platanus,0,=
2023,39,2023-09-25,2023-10-01,LLEIDA,Platanus,0,=
2023,39,2023-09-25,2023-10-01,MANRESA,Platanus,0,=
2023,39,2023-09-25,2023-10-01,PLANES,Platanus,0,=
2023,39,2023-09-25,2023-10-01,ROQUETES-TORTOSA,Platanus,0,=
2023,39,2023-09-25,2023-10-01,TARRAGONA,Platanus,0,=
2023,39,2023-09-25,2023-10-01,VIELHA,Platanus,0,=
2023,40,2023-10-02,2023-10-08,BARCELONA,Platanus,2,D
2023,40,2023-10-02,2023-10-08,BELLATERRA,Platanus,0,=
2023,40,2023-10-02,2023-10-08,GIRONA,Platanus,0,=
2023,40,2023-10-02,2023-10-08,LLEIDA,Platanus,0,=
2023,40,2023-10-02,2023-10-08,MANRESA,Platanus,0,=
2023,40,2023-10-02,2023-10-08,PLANES,Platanus,0,=
2023,40,2023-10-02,2023-10-08,ROQUETES-TORTOSA,Platanus,0,=
2023,40,2023-10-02,2023-10-08,TARRAGONA,Platanus,0,=
2023,40,2023-10-02,2023-10-08,VIELHA,Platanus,0,=
2023,41,2023-10-09,2023-10-15,BARCELONA,Platanus,1,D
2023,41,2023-10-09,2023-10-15,BELLATERRA,Platanus,0,=
2023,41,2023-10-09,2023-10-15,GIRONA,Platanus,0,=
2023,41,2023-10-09,2023-10-15,LLEIDA,Platanus,0,=
2023,41,2023-10-09,2023-10-15,MANRESA,Platanus,0,=
2023,41,2023-10-09,2023-10-15,PLANES,Platanus,0,=
2023,41,2023-10-09,2023-10-15,ROQUETES-TORTOSA,Platanus,0,=
2023,41,2023-10-09,2023-10-15,TARRAGONA,Platanus,0,=
2023,41,2023-10-09,2023-10-15,VIELHA,Platanus,0,=
2023,42,2023-10-16,2023-10-22,BARCELONA,Platanus,0,=
2023,42,2023-10-16,2023-10-22,BELLATERRA,Platanus,0,=
2023,42,2023-10-16,2023-10-22,GIRONA,Platanus,0,=
2023,42,2023-10-16,2023-10-22,LLEIDA,Platanus,0,=
2023,42,2023-10-16,2023-10-22,MANRESA,Platanus,0,=
2023,42,2023-10-16,2023-10-22,PLANES,Platanus,0,=
2023,42,2023-10-16,2023-10-22,ROQUETES-TORTOSA,Platanus,0,=
2023,42,2023-10-16,2023-10-22,TARRAGONA,Platanus,0,=
2023,42,2023-10-16,2023-10-22,VIELHA,Platanus,0,=
2024,9,2024-02-26,2024-03-03,BARCELONA,Platanus,0,A
2024,9,2024-02-26,2024-03-03,BELLATERRA,Platanus,0,=
2024,9,2024-02-26,2024-03-03,GIRONA,Platanus,0,=
2024,9,2024-02-26,2024-03-03,LLEIDA,Platanus,0,=
2024,9,2024-02-26,2024-03-03,MANRESA,Platanus,0,=
2024,9,2024-02-26,2024-03-03,PLANES,Platanus,0,=
2024,9,2024-02-26,2024-03-03,ROQUETES-TORTOSA,Platanus,0,=
2024,9,2024-02-26,2024-03-03,TARRAGONA,Platanus,0,=
2024,9,2024-02-26,2024-03-03,VIELHA,Platanus,0,=
2024,10,2024-03-04,2024-03-10,BARCELONA,Platanus,1,A
2024,10,2024-03-04,2024-03-10,BELLATERRA,Platanus,0,A
2024,10,2024-03-04,2024-03-10,GIRONA,Platanus,0,=
2024,10,2024-03-04,2024-03-10,LLEIDA,Platanus,0,=
2024,10,2024-03-04,2024-03-10,MANRESA,Platanus,0,=
2024,10,2024-03-04,2024-03-10,PLANES,Platanus,0,=
2024,10,2024-03-04,2024-03-10,ROQUETES-TORTOSA,Platanus,1,=
2024,10,2024-03-04,2024-03-10,TARRAGONA,Platanus,1,A
2024,10,2024-03-04,2024-03-10,VIELHA,Platanus,0,=
